player_display_name,position,fantasy_points_ppr,recent_team,games_played
Lamar Jackson,QB,430.4,BAL,17
Ja'Marr Chase,WR,403.0,CIN,17
Joe Burrow,QB,372.8,CIN,17
Josh Allen,QB,372.3,BUF,16
Baker Mayfield,QB,365.8,TB,17
Jayden Daniels,QB,355.8,WAS,17
Saquon Barkley,RB,355.3,PHI,16
Jahmyr Gibbs,RB,354.9,DET,17
Bijan Robinson,RB,341.7,ATL,17
Derrick Henry,RB,336.4,BAL,17
Jared Goff,QB,324.5,DET,17
Justin Jefferson,WR,317.5,MIN,17
Bo Nix,QB,317.2,DEN,17
Amon-Ra St. Brown,WR,316.2,DET,17
Jalen Hurts,QB,315.1,PHI,15
Sam Darnold,QB,308.0,MIN,17
Devon Achane,RB,299.9,MIA,17
Kyler Murray,QB,297.2,ARI,17
Josh Jacobs,RB,293.1,GB,17
Justin Herbert,QB,285.4,LAC,17
Brian Thomas,WR,284.0,JAX,17
Patrick Mahomes,QB,283.0,KC,16
Drake London,WR,280.8,ATL,17
Malik Nabers,WR,273.6,NYG,15
Kyren Williams,RB,272.1,LA,16
Terry McLaurin,WR,267.8,WAS,17
Brock Purdy,QB,266.9,SF,15
James Cook,RB,266.7,BUF,16
Geno Smith,QB,266.0,SEA,17
Alvin Kamara,RB,265.3,NO,14
CeeDee Lamb,WR,263.4,DAL,15
Brock Bowers,TE,262.7,LV,17
Aaron Rodgers,QB,256.6,NYJ,17
Chase Brown,RB,255.0,CIN,16
Caleb Williams,QB,254.5,CHI,17
James Conner,RB,253.8,ARI,16
Jaxon Smith-Njigba,WR,253.0,SEA,17
Garrett Wilson,WR,251.9,NYJ,17
Jonathan Taylor,RB,246.7,IND,14
Bucky Irving,RB,244.4,TB,17
Trey McBride,TE,243.8,ARI,16
Chuba Hubbard,RB,241.6,CAR,15
Aaron Jones,RB,241.6,MIN,17
Davante Adams,WR,241.3,LV,14
Jerry Jeudy,WR,240.9,CLE,17
Breece Hall,RB,240.9,NYJ,16
Ladd McConkey,WR,240.9,LAC,16
Joe Mixon,RB,240.5,HOU,14
Mike Evans,WR,240.4,TB,14
Courtland Sutton,WR,240.3,DEN,16
D.J. Moore,WR,238.1,CHI,17
George Kittle,TE,236.6,SF,15
Jordan Love,QB,233.9,GB,15
Jonnu Smith,TE,222.3,MIA,17
Tee Higgins,WR,222.1,CIN,12
David Montgomery,RB,221.7,DET,14
C.J. Stroud,QB,220.4,HOU,17
Tyreek Hill,WR,218.2,MIA,17
Jakobi Meyers,WR,218.0,LV,15
A.J. Brown,WR,216.9,PHI,13
Matthew Stafford,QB,214.6,LA,16
D'Andre Swift,RB,214.5,CHI,17
Jordan Addison,WR,212.5,MIN,15
Jameson Williams,WR,212.2,DET,15
Nico Collins,WR,210.6,HOU,12
Jauan Jennings,WR,210.5,SF,15
Zay Flowers,WR,209.5,BAL,17
Puka Nacua,WR,206.6,LA,11
Najee Harris,RB,204.6,PIT,17
Tony Pollard,RB,200.7,TEN,16
Rachaad White,RB,199.6,TB,15
DeVonta Smith,WR,199.4,PHI,13
Calvin Ridley,WR,199.2,TEN,17
Rico Dowdle,RB,197.8,DAL,16
Jayden Reed,WR,197.0,GB,17
Marvin Harrison,WR,196.5,ARI,17
Travis Kelce,TE,195.4,KC,16
Bryce Young,QB,195.0,CAR,14
Darnell Mooney,WR,193.2,ATL,16
Brandon Aubrey,K,192.0,DAL,17
J.K. Dobbins,RB,191.8,LAC,13
DK Metcalf,WR,191.2,SEA,15
Chris Boswell,K,191.0,PIT,17
Mark Andrews,TE,188.8,BAL,17
Xavier Worthy,WR,187.2,KC,16
Keenan Allen,WR,184.4,CHI,15
Zach Charbonnet,RB,183.7,SEA,17
Wan'Dale Robinson,WR,182.7,NYG,17
Khalil Shakir,WR,182.5,BUF,15
Tyrone Tracy,RB,182.3,NYG,17
Josh Downs,WR,182.2,IND,14
Tua Tagovailoa,QB,181.6,MIA,11
Kenneth Walker,RB,181.2,SEA,11
Cameron Dicker,K,179.0,LAC,17
Denver Broncos D/ST,DST,179.0,DEN,17
Zach Ertz,TE,177.4,WAS,17
Drake Maye,QB,177.1,NE,13
Kirk Cousins,QB,176.3,ATL,14
Rhamondre Stevenson,RB,175.9,NE,15
Cooper Kupp,WR,175.0,LA,12
Quentin Johnston,WR,174.7,LAC,15
Rashod Bateman,WR,174.6,BAL,16
Sam LaPorta,TE,174.6,DET,16
Russell Wilson,QB,172.8,PIT,11
Ka'imi Fairbairn,K,172.0,HOU,17
Pat Freiermuth,TE,168.3,PIT,17
Jason Sanders,K,166.0,MIA,17
Michael Pittman,WR,165.8,IND,16
George Pickens,WR,164.4,PIT,14
Chase McLaughlin,K,164.0,TB,17
Anthony Richardson,QB,163.4,IND,11
Tucker Kraft,TE,163.3,GB,17
Minnesota Vikings D/ST,DST,162.0,MIN,17
Alec Pierce,WR,161.4,IND,16
Jake Bates,K,161.0,DET,17
Wil Lutz,K,160.0,DEN,17
Brian Robinson,RB,159.8,WAS,14
Javonte Williams,RB,157.9,DEN,17
Deebo Samuel,WR,155.6,SF,14
Kareem Hunt,RB,155.4,KC,13
Jalen Tolbert,WR,152.0,DAL,17
Derek Carr,QB,150.9,NO,10
Jaylen Waddle,WR,149.6,MIA,15
David Njoku,TE,148.5,CLE,11
Green Bay Packers D/ST,DST,148.0,GB,17
Demario Douglas,WR,147.7,NE,16
DeAndre Hopkins,WR,147.0,KC,16
Pittsburgh Steelers D/ST,DST,146.0,PIT,17
Tyler Bass,K,146.0,BUF,17
Trevor Lawrence,QB,145.7,JAX,10
Hunter Henry,TE,145.4,NE,16
Daniel Carlson,K,145.0,LV,17
Rome Odunze,WR,144.9,CHI,17
Justin Tucker,K,143.0,BAL,17
Ray-Ray McCloud,WR,142.5,ATL,17
Mike Gesicki,TE,141.5,CIN,16
Jake Elliott,K,141.0,PHI,17
Cade Otton,TE,140.6,TB,14
Tank Dell,WR,140.0,HOU,14
Jason Myers,K,140.0,SEA,17
Adam Thielen,WR,139.5,CAR,10
Houston Texans D/ST,DST,139.0,HOU,17
Matt Gay,K,139.0,IND,16
Chris Godwin,WR,137.8,TB,7
Alexander Mattison,RB,137.4,LV,14
Seattle Seahawks D/ST,DST,136.0,SEA,17
Nick Westbrook-Ikhine,WR,135.7,TEN,13
Jalen McMillan,WR,135.4,TB,13
Daniel Jones,QB,135.3,NYG,10
Joshua Karty,K,135.0,LA,17
Philadelphia Eagles D/ST,DST,135.0,PHI,17
Jerome Ford,RB,134.0,CLE,14
Buffalo Bills D/ST,DST,133.0,BUF,17
Austin Ekeler,RB,132.3,WAS,12
Romeo Doubs,WR,132.1,GB,13
Kyle Pitts,TE,131.2,ATL,17
Jameis Winston,QB,131.1,CLE,11
Will Reichard,K,131.0,MIN,13
Blake Grupe,K,131.0,NO,17
Travis Etienne,RB,130.2,JAX,15
Marvin Mims,WR,129.5,DEN,16
Tre Tucker,WR,129.3,LV,17
Tank Bigsby,RB,129.0,JAX,15
Los Angeles Chargers D/ST,DST,128.0,LAC,17
Justice Hill,RB,127.1,BAL,15
Cam Little,K,126.0,JAX,17
Allen Lazard,WR,126.0,NYJ,12
Ameer Abdullah,RB,125.2,LV,13
Xavier Legette,WR,125.1,CAR,15
Chad Ryland,K,125.0,ARI,13
Michael Wilson,WR,124.5,ARI,16
Jaylen Warren,RB,124.1,PIT,15
Isaiah Likely,TE,123.7,BAL,15
Demarcus Robinson,WR,123.5,LA,17
Detroit Lions D/ST,DST,123.0,DET,17
Juwan Johnson,TE,122.8,NO,15
Amari Cooper,WR,122.7,CLE,13
Stefon Diggs,WR,121.9,HOU,8
Tyler Conklin,TE,121.9,NYJ,16
Kayshon Boutte,WR,121.9,NE,15
Chicago Bears D/ST,DST,121.0,CHI,17
Tyler Lockett,WR,121.0,SEA,17
Elijah Moore,WR,120.9,CLE,17
Calvin Austin,WR,120.8,PIT,17
Cole Kmet,TE,120.4,CHI,14
Joey Slye,K,120.0,NE,17
Younghoe Koo,K,120.0,ATL,14
Baltimore Ravens D/ST,DST,120.0,BAL,17
Will Levis,QB,119.9,TEN,12
Andrei Iosivas,WR,119.9,CIN,17
Justin Fields,QB,119.1,PIT,10
Dalton Schultz,TE,118.2,HOU,17
Jake Moody,K,118.0,SF,14
Los Angeles Rams D/ST,DST,118.0,LA,17
Dak Prescott,QB,116.5,DAL,8
Ray Davis,RB,116.1,BUF,16
Austin Seibert,K,115.0,WAS,9
Jordan Mason,RB,115.0,SF,12
Olamide Zaccheaus,WR,114.4,WAS,15
Chigoziem Okonkwo,TE,113.6,TEN,16
Tyjae Spears,RB,113.6,TEN,12
Noah Gray,TE,113.3,KC,16
Keon Coleman,WR,111.5,BUF,13
Dallas Cowboys D/ST,DST,111.0,DAL,17
Dontayvion Wicks,WR,110.5,GB,17
Will Dissly,TE,110.1,LAC,15
Darius Slayton,WR,110.0,NYG,16
Cooper Rush,QB,109.6,DAL,12
Cairo Santos,K,109.0,CHI,17
Austin Hooper,TE,108.6,NE,17
Nick Folk,K,108.0,TEN,14
Josh Palmer,WR,107.4,LAC,15
Eddy Pineiro,K,107.0,CAR,17
Devaughn Vele,WR,106.5,DEN,13
Tyler Allgeier,RB,106.2,ATL,17
Kansas City Chiefs D/ST,DST,106.0,KC,17
Christian Watson,WR,105.3,GB,14
Jalen Nailor,WR,105.0,MIN,15
Jake Ferguson,TE,104.4,DAL,14
Kavontae Turpin,WR,104.2,DAL,15
Tampa Bay Buccaneers D/ST,DST,104.0,TB,17
Cincinnati Bengals D/ST,DST,104.0,CIN,17
Noah Fant,TE,104.0,SEA,14
Dallas Goedert,TE,103.6,PHI,10
Antonio Gibson,RB,103.4,NE,17
Foster Moreau,TE,103.3,NO,15
Taysom Hill,TE,102.3,NO,8
Arizona Cardinals D/ST,DST,101.0,ARI,17
Dalton Kincaid,TE,100.8,BUF,13
Harrison Butker,K,100.0,KC,13
Joe Flacco,QB,99.0,IND,7
Brandon McManus,K,99.0,GB,11
Tutu Atwell,WR,98.9,LA,15
Mack Hollins,WR,98.8,BUF,16
New Orleans Saints D/ST,DST,98.0,NO,17
Jaleel McLaughlin,RB,97.2,DEN,16
Parker Washington,WR,97.0,JAX,13
Atlanta Falcons D/ST,DST,97.0,ATL,17
Devin Singletary,RB,96.6,NYG,15
Gardner Minshew,QB,96.3,LV,10
Isaac Guerendo,RB,96.2,SF,13
Mac Jones,QB,96.1,JAX,10
Emanuel Wilson,RB,96.0,GB,17
Mason Rudolph,QB,95.8,TEN,8
New York Jets D/ST,DST,95.0,NYJ,17
Evan McPherson,K,94.0,CIN,12
Ricky Pearsall,WR,93.5,SF,10
Aidan O'Connell,QB,93.5,LV,9
Cam Akers,RB,93.2,HOU,15
Jalen Coker,WR,92.6,CAR,11
Tim Patrick,WR,92.4,DET,15
Ty Johnson,RB,91.7,BUF,17
Brenton Strange,TE,91.1,JAX,14
Indianapolis Colts D/ST,DST,91.0,IND,17
New York Giants D/ST,DST,91.0,NYG,17
Jordan Akins,TE,91.0,CLE,16
Greg Dortch,WR,90.3,ARI,17
Washington Commanders D/ST,DST,90.0,WAS,17
Evan Engram,TE,89.5,JAX,9
Diontae Johnson,WR,89.1,BAL,11
T.J. Hockenson,TE,86.5,MIN,10
Noah Brown,WR,86.3,WAS,11
Braelon Allen,RB,85.2,NYJ,17
David Moore,WR,85.1,CAR,14
Marquez Valdes-Scantling,WR,84.5,BUF,13
Dustin Hopkins,K,84.0,CLE,16
Miami Dolphins D/ST,DST,84.0,MIA,17
San Francisco 49ers D/ST,DST,84.0,SF,17
Zack Moss,RB,81.9,CIN,8
